"year","em","sector","month","global_total","units"
1950,"CO2","AGR",1,0,"kt"
1950,"CO2","AGR",2,0,"kt"
1950,"CO2","AGR",3,0,"kt"
1950,"CO2","AGR",4,0,"kt"
1950,"CO2","AGR",5,0,"kt"
1950,"CO2","AGR",6,0,"kt"
1950,"CO2","AGR",7,0,"kt"
1950,"CO2","AGR",8,0,"kt"
1950,"CO2","AGR",9,0,"kt"
1950,"CO2","AGR",10,0,"kt"
1950,"CO2","AGR",11,0,"kt"
1950,"CO2","AGR",12,0,"kt"
1950,"CO2","ENE",1,224549.874630292,"kt"
1950,"CO2","ENE",2,188415.624716644,"kt"
1950,"CO2","ENE",3,193742.990422199,"kt"
1950,"CO2","ENE",4,176513.100876572,"kt"
1950,"CO2","ENE",5,176674.452414134,"kt"
1950,"CO2","ENE",6,173149.150299855,"kt"
1950,"CO2","ENE",7,184070.25616889,"kt"
1950,"CO2","ENE",8,182291.749718985,"kt"
1950,"CO2","ENE",9,169993.905544089,"kt"
1950,"CO2","ENE",10,179631.443179686,"kt"
1950,"CO2","ENE",11,183787.246944307,"kt"
1950,"CO2","ENE",12,214448.359342506,"kt"
1950,"CO2","IND",1,184516.449481605,"kt"
1950,"CO2","IND",2,167118.097806119,"kt"
1950,"CO2","IND",3,167932.075192888,"kt"
1950,"CO2","IND",4,163496.50916165,"kt"
1950,"CO2","IND",5,144323.410769167,"kt"
1950,"CO2","IND",6,132379.317900408,"kt"
1950,"CO2","IND",7,128246.195284192,"kt"
1950,"CO2","IND",8,136791.961830421,"kt"
1950,"CO2","IND",9,131397.720215746,"kt"
1950,"CO2","IND",10,152869.177315396,"kt"
1950,"CO2","IND",11,163005.710319319,"kt"
1950,"CO2","IND",12,185023.608285346,"kt"
1950,"CO2","TRA",1,60323.0856206808,"kt"
1950,"CO2","TRA",2,54485.3676573891,"kt"
1950,"CO2","TRA",3,60323.0856206808,"kt"
1950,"CO2","TRA",4,58377.1796329169,"kt"
1950,"CO2","TRA",5,60323.0856206808,"kt"
1950,"CO2","TRA",6,58377.1796329169,"kt"
1950,"CO2","TRA",7,60323.0856206808,"kt"
1950,"CO2","TRA",8,60323.0856206808,"kt"
1950,"CO2","TRA",9,58377.1796329169,"kt"
1950,"CO2","TRA",10,60323.0856206808,"kt"
1950,"CO2","TRA",11,58377.1796329169,"kt"
1950,"CO2","TRA",12,60323.0856206808,"kt"
1950,"CO2","SLV",1,885.239654177913,"kt"
1950,"CO2","SLV",2,799.571300547793,"kt"
1950,"CO2","SLV",3,885.239654177913,"kt"
1950,"CO2","SLV",4,856.683536301207,"kt"
1950,"CO2","SLV",5,885.239654177913,"kt"
1950,"CO2","SLV",6,856.683536301207,"kt"
1950,"CO2","SLV",7,885.239654177913,"kt"
1950,"CO2","SLV",8,885.239654177913,"kt"
1950,"CO2","SLV",9,856.683536301207,"kt"
1950,"CO2","SLV",10,885.239654177913,"kt"
1950,"CO2","SLV",11,856.683536301207,"kt"
1950,"CO2","SLV",12,885.239654177913,"kt"
1950,"CO2","WST",1,49.6446614203429,"kt"
1950,"CO2","WST",2,44.8403393474065,"kt"
1950,"CO2","WST",3,49.6446614203429,"kt"
1950,"CO2","WST",4,48.0432207293641,"kt"
1950,"CO2","WST",5,49.6446614203429,"kt"
1950,"CO2","WST",6,48.0432207293641,"kt"
1950,"CO2","WST",7,49.6446614203429,"kt"
1950,"CO2","WST",8,49.6446614203429,"kt"
1950,"CO2","WST",9,48.0432207293641,"kt"
1950,"CO2","WST",10,49.6446614203429,"kt"
1950,"CO2","WST",11,48.0432207293641,"kt"
1950,"CO2","WST",12,49.6446614203429,"kt"
