"year","em","sector","month","global_total","units"
1851,"CO2","AGR",1,0,"kt"
1851,"CO2","AGR",2,0,"kt"
1851,"CO2","AGR",3,0,"kt"
1851,"CO2","AGR",4,0,"kt"
1851,"CO2","AGR",5,0,"kt"
1851,"CO2","AGR",6,0,"kt"
1851,"CO2","AGR",7,0,"kt"
1851,"CO2","AGR",8,0,"kt"
1851,"CO2","AGR",9,0,"kt"
1851,"CO2","AGR",10,0,"kt"
1851,"CO2","AGR",11,0,"kt"
1851,"CO2","AGR",12,0,"kt"
1851,"CO2","ENE",1,2182.11727414403,"kt"
1851,"CO2","ENE",2,1842.54747227782,"kt"
1851,"CO2","ENE",3,1822.21770171582,"kt"
1851,"CO2","ENE",4,1606.30190822058,"kt"
1851,"CO2","ENE",5,1355.4493441723,"kt"
1851,"CO2","ENE",6,1219.9885043717,"kt"
1851,"CO2","ENE",7,1256.53732646202,"kt"
1851,"CO2","ENE",8,1182.39229775148,"kt"
1851,"CO2","ENE",9,1236.56683225191,"kt"
1851,"CO2","ENE",10,1432.65506652281,"kt"
1851,"CO2","ENE",11,1568.33535727344,"kt"
1851,"CO2","ENE",12,1984.61661019381,"kt"
1851,"CO2","IND",1,9678.53232681791,"kt"
1851,"CO2","IND",2,8741.9882410614,"kt"
1851,"CO2","IND",3,8711.65138751247,"kt"
1851,"CO2","IND",4,8430.81910694767,"kt"
1851,"CO2","IND",5,7261.57375730447,"kt"
1851,"CO2","IND",6,6559.62537571146,"kt"
1851,"CO2","IND",7,6294.7903294991,"kt"
1851,"CO2","IND",8,6778.27955490185,"kt"
1851,"CO2","IND",9,6559.43664377586,"kt"
1851,"CO2","IND",10,7745.06298270722,"kt"
1851,"CO2","IND",11,8430.72474097987,"kt"
1851,"CO2","IND",12,9678.62983831797,"kt"
1851,"CO2","TRA",1,208.272987968856,"kt"
1851,"CO2","TRA",2,188.117537520257,"kt"
1851,"CO2","TRA",3,208.272987968856,"kt"
1851,"CO2","TRA",4,201.55450448599,"kt"
1851,"CO2","TRA",5,208.272987968856,"kt"
1851,"CO2","TRA",6,201.55450448599,"kt"
1851,"CO2","TRA",7,208.272987968856,"kt"
1851,"CO2","TRA",8,208.272987968856,"kt"
1851,"CO2","TRA",9,201.55450448599,"kt"
1851,"CO2","TRA",10,208.272987968856,"kt"
1851,"CO2","TRA",11,201.55450448599,"kt"
1851,"CO2","TRA",12,208.272987968856,"kt"
1851,"CO2","SLV",1,0,"kt"
1851,"CO2","SLV",2,0,"kt"
1851,"CO2","SLV",3,0,"kt"
1851,"CO2","SLV",4,0,"kt"
1851,"CO2","SLV",5,0,"kt"
1851,"CO2","SLV",6,0,"kt"
1851,"CO2","SLV",7,0,"kt"
1851,"CO2","SLV",8,0,"kt"
1851,"CO2","SLV",9,0,"kt"
1851,"CO2","SLV",10,0,"kt"
1851,"CO2","SLV",11,0,"kt"
1851,"CO2","SLV",12,0,"kt"
1851,"CO2","WST",1,0,"kt"
1851,"CO2","WST",2,0,"kt"
1851,"CO2","WST",3,0,"kt"
1851,"CO2","WST",4,0,"kt"
1851,"CO2","WST",5,0,"kt"
1851,"CO2","WST",6,0,"kt"
1851,"CO2","WST",7,0,"kt"
1851,"CO2","WST",8,0,"kt"
1851,"CO2","WST",9,0,"kt"
1851,"CO2","WST",10,0,"kt"
1851,"CO2","WST",11,0,"kt"
1851,"CO2","WST",12,0,"kt"
1851,"CO2","SHP",1,0,"kt"
1851,"CO2","SHP",2,0,"kt"
1851,"CO2","SHP",3,0,"kt"
1851,"CO2","SHP",4,0,"kt"
1851,"CO2","SHP",5,0,"kt"
1851,"CO2","SHP",6,0,"kt"
1851,"CO2","SHP",7,0,"kt"
1851,"CO2","SHP",8,0,"kt"
1851,"CO2","SHP",9,0,"kt"
1851,"CO2","SHP",10,0,"kt"
1851,"CO2","SHP",11,0,"kt"
1851,"CO2","SHP",12,0,"kt"
1851,"CO2","RCO",1,11118.0947599078,"kt"
1851,"CO2","RCO",2,9113.37705394148,"kt"
1851,"CO2","RCO",3,7927.19226879316,"kt"
1851,"CO2","RCO",4,5941.10280195313,"kt"
1851,"CO2","RCO",5,3628.62891210695,"kt"
1851,"CO2","RCO",6,3214.50268030603,"kt"
1851,"CO2","RCO",7,3430.57293470788,"kt"
1851,"CO2","RCO",8,3430.76666364963,"kt"
1851,"CO2","RCO",9,3218.03146520645,"kt"
1851,"CO2","RCO",10,4393.94257543682,"kt"
1851,"CO2","RCO",11,6641.78837610849,"kt"
1851,"CO2","RCO",12,10876.223179899,"kt"
1852,"CO2","AGR",1,0,"kt"
1852,"CO2","AGR",2,0,"kt"
1852,"CO2","AGR",3,0,"kt"
1852,"CO2","AGR",4,0,"kt"
1852,"CO2","AGR",5,0,"kt"
1852,"CO2","AGR",6,0,"kt"
1852,"CO2","AGR",7,0,"kt"
1852,"CO2","AGR",8,0,"kt"
1852,"CO2","AGR",9,0,"kt"
1852,"CO2","AGR",10,0,"kt"
1852,"CO2","AGR",11,0,"kt"
1852,"CO2","AGR",12,0,"kt"
1852,"CO2","ENE",1,2376.62136149352,"kt"
1852,"CO2","ENE",2,2007.60466950032,"kt"
1852,"CO2","ENE",3,1976.19307185681,"kt"
1852,"CO2","ENE",4,1743.72510540558,"kt"
1852,"CO2","ENE",5,1478.50096757722,"kt"
1852,"CO2","ENE",6,1327.07760010002,"kt"
1852,"CO2","ENE",7,1367.48150195701,"kt"
1852,"CO2","ENE",8,1293.05955102984,"kt"
1852,"CO2","ENE",9,1348.57192971725,"kt"
1852,"CO2","ENE",10,1560.97218515428,"kt"
1852,"CO2","ENE",11,1710.98292026942,"kt"
1852,"CO2","ENE",12,2159.78556801306,"kt"
1852,"CO2","IND",1,10131.6791436019,"kt"
1852,"CO2","IND",2,9151.3251940671,"kt"
1852,"CO2","IND",3,9119.6641732174,"kt"
1852,"CO2","IND",4,8825.7624484058,"kt"
1852,"CO2","IND",5,7602.00466364306,"kt"
1852,"CO2","IND",6,6867.30478650218,"kt"
1852,"CO2","IND",7,6590.13487165952,"kt"
1852,"CO2","IND",8,7096.21494605225,"kt"
1852,"CO2","IND",9,6867.02379604871,"kt"
1852,"CO2","IND",10,8108.08473803579,"kt"
1852,"CO2","IND",11,8825.62195317906,"kt"
1852,"CO2","IND",12,10131.8243220029,"kt"
1852,"CO2","TRA",1,225.177191488244,"kt"
1852,"CO2","TRA",2,203.385850376478,"kt"
1852,"CO2","TRA",3,225.177191488244,"kt"
1852,"CO2","TRA",4,217.913411117655,"kt"
1852,"CO2","TRA",5,225.177191488244,"kt"
1852,"CO2","TRA",6,217.913411117655,"kt"
1852,"CO2","TRA",7,225.177191488244,"kt"
1852,"CO2","TRA",8,225.177191488244,"kt"
