country,slope,intercept,r_squared
Afghanistan,0.000803888040677478,-0.15573103993102785,0.8944099984319495
Albania,0.0007181804719512293,-0.3200757796198956,0.8211499145351906
Algeria,0.0008557969266952782,-0.14797769094566765,0.9056517352947006
Angola,0.0006772608770413386,0.07345304540866564,0.9401252419158577
Antarctica,0.00043553302008296035,0.12201875132231242,0.8434555671587375
Argentina,0.0003827072015436006,0.08903023067840551,0.9094272243481474
Armenia,0.0006917477359712739,-0.3482192127435661,0.7829596487210584
Australia,0.0005633126253295225,0.07385511514878283,0.9467042684047142
Austria,0.0006706944180170662,-0.21070186470029267,0.8041498776315757
Azerbaijan,0.0006451811719393793,-0.2844726699607977,0.7988146397903676
Bangladesh,0.0003511320966896024,-0.015209329303589775,0.7475443049965845
Belarus,0.0006777362702688399,-0.1759091821705883,0.7256050221299428
Belgium,0.00047985905197328523,-0.1868440559690079,0.7079115374674242
Benin,0.0005759913812457236,0.06853715610765762,0.8955433074180289
Bhutan,0.0006308522401224517,-0.09802291028265427,0.9396634214656272
Bolivia,0.0007389511468641672,0.027659520973632105,0.9280276910879638
Bosnia_and_Herz.,0.0007547401061564953,-0.2801862454227642,0.7996709552125735
Botswana,0.0008161338606361855,0.043504858251504505,0.9189115107950692
Brazil,0.0006561352546758636,0.03418050775522988,0.9275357851339094
Brunei,0.0004505217640944063,0.025877760575292574,0.9257339912853211
Bulgaria,0.0007385494342629921,-0.31294047327171365,0.8095256143727545
Burkina_Faso,0.0006725073870766618,0.07775660928550351,0.8770013155140848
Burundi,0.0005446738826948026,-0.07994450404225895,0.8850219846149697
Cambodia,0.0007553645620809396,0.10628679605112795,0.9262314124859051
Cameroon,0.000589815953032422,0.04067089019583964,0.9168238227573531
Canada,0.0010352997695191742,0.01921721226929616,0.9012113749567988
Central_African_Rep.,0.0006172393079576753,0.05198624531363176,0.9150113049269097
Chad,0.0008119631318349908,-0.02159575531080538,0.9007467581983561
Chile,0.0003800786566650513,0.04860285313586127,0.8943093971095635
China,0.0007369326871196917,-0.17713896135967186,0.9008392077928912
Colombia,0.0005589182030059326,-0.013026036730783765,0.8731676193386215
Congo,0.0005327560063934869,0.0059928723689401525,0.9076592494180307
Costa_Rica,0.0006174801680490262,0.02265145732326928,0.9046140441634172
Cuba,0.0005993011142595516,-0.039590676482208535,0.9447059352078694
Cyprus,0.0007043271323515803,-0.23264608174597834,0.8326601985976447
Czechia,0.0006391814216794112,-0.12394342077137072,0.7809386600717922
Côte_d'Ivoire,0.0005848355841075972,0.13804847292090197,0.9157090243478797
Dem._Rep._Congo,0.0005723579314360786,-0.011612720545807212,0.9130555871941582
Denmark,0.0004371779448576938,-0.07177002753325804,0.6836379928016818
Djibouti,0.0006819599727368742,0.03259804020523178,0.9363312098053618
Ecuador,0.0005085424312313181,-0.022866321704630616,0.8435525626787943
Egypt,0.0008023914582632844,-0.18749799806848091,0.8867059677919162
Eritrea,0.0008395693437199178,0.0011788102285831131,0.93293878035269
Estonia,0.000666243615454319,-0.13590046094868694,0.7096581937321953
Ethiopia,0.00063398643412088,0.08593193247408228,0.9346216783558245
Fiji,0.0003982811404775281,0.040438922313109686,0.9663263284213868
Finland,0.000632203773224757,-0.11368019608811064,0.6820637185598835
France,0.0005701813826833494,-0.12064833537963288,0.8419325535266138
Gabon,0.0005088824882404013,0.029435980852185555,0.9146532688836263
Georgia,0.0007141398437604199,-0.34838351081711727,0.772189325789061
Germany,0.0005421525164093886,-0.14773352422502561,0.7568282356869137
Ghana,0.0005806968925919315,0.06263565433380587,0.9003735522983294
Greece,0.0006599613243148654,-0.2589665259227384,0.8394131457830754
Greenland,0.0005587645507349323,0.10254354593934494,0.6197552020932284
Guatemala,0.0007587985739940978,0.07064822127578517,0.94498479743801
Guinea,0.0006652864045672741,0.17069209005708852,0.9245714575850471
Guinea-Bissau,0.0006233818784946233,0.09241753182272366,0.9145999215399575
Guyana,0.0005926289427417161,-0.12285450565488315,0.8839947614458261
Honduras,0.0007927937427513956,0.18962815286739357,0.8981548478583115
Hungary,0.000803743893935916,-0.1879440680255447,0.8413159151762426
Iceland,0.00037982793623038674,0.12046022113731822,0.2913591973900548
India,0.00047629787039093205,-0.08129641828880084,0.8439547853788578
Indonesia,0.0004895501086736024,0.06323769959032277,0.9612822082781927
Iran,0.0008158283785913725,-0.12405763222676865,0.9062266605182461
Iraq,0.0008660875696115977,-0.1582772320603721,0.9038008940086634
Ireland,0.00014687496320001453,0.011584730884488442,0.31787282436814834
Israel,0.0007610786150088177,-0.21738683725465863,0.864770722998387
Italy,0.0007217014252908136,-0.1278767718177299,0.866894592318505
Jamaica,0.0005672483632697213,-0.04783397962012186,0.93177576152543
Japan,0.0007168716802733483,-0.16570719790681768,0.8633757199834313
Jordan,0.0008535420564374711,-0.15776259177675947,0.8869298077446035
Kazakhstan,0.0008389167289227265,-0.19672944170699178,0.8067114045465649
Kenya,0.00055201776140527,0.08615844440749154,0.9362490846995375
Kuwait,0.0008786667588706763,-0.0768955194197343,0.9242788887938029
Kyrgyzstan,0.0008522584721255785,-0.19349444541045344,0.8610521888961356
Laos,0.0005768279131522001,-0.03830793743970784,0.8067325144676867
Latvia,0.0006163464752363818,-0.11263535784813351,0.6996353008743336
Lesotho,0.0005605781223822843,0.02660805226166982,0.8393580902473019
Liberia,0.0006081519105592963,0.07389430562814675,0.9413633937561687
Libya,0.0007938836232624876,-0.16968190623612836,0.8874619290509685
Lithuania,0.0006223463172209333,-0.127238167248497,0.698336765600313
Madagascar,0.0005297853282788313,0.10590143030164878,0.9391706058603733
Malawi,0.000769163088093316,0.3454326203446882,0.9220110951196855
Malaysia,0.0004756631968177717,0.048198718201533396,0.941691126680003
Mali,0.0008152179442690035,0.009720731438445922,0.9036540674116067
Mauritania,0.0008452040575058896,-0.02999283752337512,0.9191077118105916
Mexico,0.000611667822094786,-0.07793458149290984,0.9376374658985954
Moldova,0.0007192248091735692,-0.3062979293514225,0.7485805700466308
Mongolia,0.0008708928410918002,-0.12505829172910748,0.8687937983266424
Montenegro,0.0007424716950950184,-0.3368752261005621,0.7971503232340768
Morocco,0.0007182997654707903,-0.10735325057180706,0.9151014601922197
Mozambique,0.0006349361994733387,0.11349589377595384,0.9411040266893665
Myanmar,0.00048382662571281573,0.10117306144730037,0.9133289858631674
Namibia,0.0007649272376742681,0.06228599876968643,0.9249011244020897
Nepal,0.0005408291495061415,0.15305517828411658,0.8970390776345859
Netherlands,0.0003508441094118345,-0.10483159051491404,0.6335253021682326
New_Zealand,0.00037396418824289264,0.1502185270942473,0.8691578076736545
Nicaragua,0.0006580667868556415,-0.04428941572541154,0.9301737258639704
Niger,0.0008650730397343118,-0.02387287510363236,0.8921554403150787
Nigeria,0.0006554730208890023,0.08958990235070578,0.9088458563669355
North_Korea,0.0007931894196171019,-0.15355556365009437,0.8356331264653225
Norway,0.0005159173658396008,0.031438765985139346,0.7203954743356507
Oman,0.0007775402040465861,0.006334614393861061,0.940741112474386
Pakistan,0.0007497802797984515,-0.1148058709552482,0.9216326321925067
Panama,0.0005397323797211417,-0.0077195057135648025,0.8671169736346
Papua_New_Guinea,0.0004428119514182269,0.024770197589412367,0.9486966991868068
Paraguay,0.000688989016529301,0.17511663634293895,0.9370870634985966
Peru,0.0005784432165961918,-0.04618858916005,0.8658010349207739
Philippines,0.0005022179206213307,0.052351641668050536,0.9516876725244549
Poland,0.0005941205042573811,-0.14041364222920388,0.7359625446224338
Portugal,0.000651008376023571,-0.0914020213097388,0.8505365213279749
Romania,0.000767373154526972,-0.29275011350182334,0.7954763283698512
Russia,0.0009532658347427964,0.16328600224589718,0.8946520848001418
S._Sudan,0.0006422685138476027,0.07975984199581136,0.917617139864161
Saudi_Arabia,0.0009322281278816495,-0.05372092574146234,0.93317411672072
Senegal,0.0007197085695565247,0.10427215504214098,0.9105165493777118
Serbia,0.0007470439800676147,-0.3349759942151967,0.7907583947851751
Sierra_Leone,0.0007093651384247404,0.14573373534182657,0.9507504660289726
Slovakia,0.0007918354375682719,-0.1217493019987138,0.8498172254901103
Slovenia,0.0006961053428799267,-0.23157758319785682,0.8100206913813788
Somalia,0.0005347315082161187,0.057263156634865794,0.9410236721303037
Somaliland,0.0006463121701276413,0.040526160780839565,0.9273647015123104
South_Africa,0.0006069340709893157,0.13589913442074597,0.9184972927245193
South_Korea,0.0006728414988591866,-0.23757721486243247,0.8234250164815811
Spain,0.0006632479109145871,-0.11216326279578737,0.872636084683464
Sri_Lanka,0.0003734436823912019,0.0907263875704607,0.8885784512225957
Sudan,0.0008735329434266463,-0.03825295665640979,0.9269660712371277
Suriname,0.0006172033197208843,-0.14945240848716668,0.8775334295345577
Sweden,0.0004976367038290196,-0.0776749048489033,0.691322177566474
Switzerland,0.0006358273695756485,-0.2601459466868706,0.8090066558303466
Syria,0.0007979778315901183,-0.18304384478843336,0.8822713097868785
Tajikistan,0.0008389800129197042,-0.18634435980923494,0.8751759668358287
Tanzania,0.0005466846717590151,0.10606020783879311,0.932793669285052
Thailand,0.0005944081819496014,0.10044698853768153,0.8978793512423079
Tunisia,0.0007177730313822039,-0.2050622303471077,0.8962082330311621
Turkey,0.000725732007977769,-0.2788399841929735,0.8303773795074376
Turkmenistan,0.0006917578713789177,-0.17741357203578567,0.8375064721316339
Uganda,0.00048033444267320133,-0.0011405499524153005,0.8766454079854997
Ukraine,0.0007310047969105351,-0.3083671607600131,0.7393862213339271
United_Arab_Emirates,0.0009120974568159892,-0.02667402240834249,0.9416182315688856
United_Kingdom,0.00021563015624295582,-0.025870498493155203,0.4981312361574075
United_States_of_America,0.0007325876704512256,-0.3188199086030705,0.8500021051140957
Uruguay,0.00031534164799604464,0.08075513357322148,0.7139846224586975
Uzbekistan,0.0007211754109593627,-0.198930546337095,0.8345235842001749
Venezuela,0.0006740264517383671,-0.02945928653066275,0.9022338948819811
Vietnam,0.000591219215586993,-0.022751029868429397,0.8726685383999764
W._Sahara,0.0008402205053275346,-0.09060502621698581,0.9200348562350265
Yemen,0.0008099620666249495,0.022854157961381554,0.9338912579226353
Zambia,0.0007171373943704223,0.07259416970817446,0.9240770572969005
Zimbabwe,0.0007487145069059964,0.027357799623379656,0.9270228985812465
